company_id,company
1,Flash Cab
2,Tac - Checker Cab Dispatch
3,5 Star Taxi
4,Taxicab Insurance Agency Llc
5,Taxi Affiliation Services
6,City Service
7,Globe Taxi
8,Sun Taxi
9,Chicago Independents
10,Blue Ribbon Taxi Association
11,Tac - Yellow Cab Association
12,Chicago Taxicab
13,Medallion Leasin
14,Top Cab
15,Star North Taxi Management Llc
16,Choice Taxi Association Inc
17,Chicago City Taxi Association
18,"Taxicab Insurance Agency, LLC"
19,Choice Taxi Association
20,Patriot Taxi Dba Peace Taxi Associat
21,4053 - 40193 Adwar H. Nikola
22,312 Medallion Management Corp
23,Wolley Taxi
24,U Taxicab
25,6574 - Babylon Express Inc.
26,Setare Inc
27,3591 - 63480 Chuks Cab
28,5167 - 71969 5167 Taxi Inc
29,Koam Taxi Association
30,Tac - American United Dispatch
31,2733 - 74600 Benny Jona
32,Tac - Yellow Non Color
33,3556 - 36214 RC Andrews Cab
34,Tac - Blue Diamond Dispatch
35,Petani Cab Corp
36,Metro Jet Taxi A.
