datetime,temperature,wind_speed,rain,precipitation
2025-02-04 00:00:00,1.5,20.3,0.0,0.0
2025-02-04 01:00:00,1.7,19.4,0.0,0.0
2025-02-04 02:00:00,1.5,17.0,0.0,0.0
2025-02-04 03:00:00,1.4,16.7,0.0,0.0
2025-02-04 04:00:00,1.2,18.9,0.0,0.0
2025-02-04 05:00:00,1.0,19.0,0.0,0.0
2025-02-04 06:00:00,0.5,18.7,0.0,0.0
2025-02-04 07:00:00,0.2,14.9,0.0,0.0
2025-02-04 08:00:00,-0.6,11.4,0.0,0.0
2025-02-04 09:00:00,-1.2,12.0,0.0,0.0
2025-02-04 10:00:00,-1.7,15.3,0.0,0.0
2025-02-04 11:00:00,-2.4,16.4,0.0,0.0
2025-02-04 12:00:00,-3.3,15.6,0.0,0.0
2025-02-04 13:00:00,-3.0,18.1,0.0,0.0
2025-02-04 14:00:00,-3.9,19.5,0.0,0.0
2025-02-04 15:00:00,-3.9,18.0,0.0,0.0
2025-02-04 16:00:00,-3.6,20.9,0.0,0.0
2025-02-04 17:00:00,-3.5,20.2,0.0,0.0
2025-02-04 18:00:00,-3.5,19.2,0.0,0.0
2025-02-04 19:00:00,-3.4,20.4,0.0,0.0
2025-02-04 20:00:00,-4.0,20.9,0.0,0.0
2025-02-04 21:00:00,-4.4,19.3,0.0,0.0
2025-02-04 22:00:00,-4.7,18.2,0.0,0.0
2025-02-04 23:00:00,-4.7,16.9,0.0,0.0
